url,username,error,errorDescription,inputUrl,id,type,shortCode,caption,hashtags,mentions,commentsCount,firstComment,latestComments,dimensionsHeight,dimensionsWidth,displayUrl,images,alt,likesCount,timestamp,childPosts,ownerFullName,ownerUsername,ownerId,isSponsored,videoUrl,videoViewCount,videoPlayCount,productType,videoDuration,taggedUsers,musicInfo,coauthorProducers
https://www.instagram.com/zwift,zwift,not_found,Post does not exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DGttriYssIa/,,,,https://www.instagram.com/triathletemag,3579718182781501978,Image,DGttriYssIa,"Understanding bike tracking is a must for traveling triathletes. At the link in the bio, we break down how devices like AirTags actually work and what they can do for you! 🔗",[],[],0.0,,[],1350.0,1080.0,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/482219891_18493496026035363_746357437639036810_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AHp9rTvxGDkNMVT1lijQ-BQhEbU2QgwuZkFZJEip79hl_gPmrPkUZXB2w5jlOt0R0o&_nc_ohc=sLEY9oy15EMQ7kNvgGwc5rW&_nc_gid=1f6e4f71a54b4c01a33e734374bfe73f&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBMEmxPNLaTUWflkXh6zx5LmfnQ6XeNOQYZZP0EGvbILg&oe=67CB60E8&_nc_sid=10d13b,[],"Photo by Triathlete Magazine on March 02, 2025. May be an image of ‎motorcycle and ‎text that says '‎Gates CGates P2 triathlete Can AirTags truly give you peace of mind about your bike? (And can they actually help?) ates ates 中 ידיירב ለዘክና‎'‎‎.",28.0,2025-03-02T22:48:06.000Z,[],Triathlete Magazine,triathletemag,189411362,False,,,,,,,,
https://www.instagram.com/p/DGuCgU9sHKN/,,,,https://www.instagram.com/triathletemag,3579809771432211085,Image,DGuCgU9sHKN,"Everyone says ""trust your training,"" but can you trust your nutrition? 🤔 Some popular products aren't delivering what they promise. Read the full breakdown at the link in bio!",[],[],0.0,,[],1350.0,1080.0,https://scontent-gig4-2.cdninstagram.com/v/t51.2885-15/482416268_18493519570035363_8107599457264606494_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-gig4-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AExDE2VSZuXotCv3bP_rRFnaaLAvFnYAla3jwHq_dPnXvlVY7fmKJ9tQglC0FDB2mw&_nc_ohc=MTMKuHJMH98Q7kNvgE3l2IV&_nc_gid=7c228bb4b18c4856b0cb4e950056dac2&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYC-vmRsgb6WUkb_MM1URHJttvaJcdREdadlTMnxKuz1UQ&oe=67CB3ED1&_nc_sid=10d13b,[],"Photo by Triathlete Magazine on March 02, 2025. May be an image of 1 person and text that says 'STUDY REPORT New research uncovers inaccurate calorie and carbohydrate counts in popular sports nutrition products Link in bio! triathlete'.",58.0,2025-03-03T01:50:03.000Z,[],Triathlete Magazine,triathletemag,189411362,False,,,,,,,,
https://www.instagram.com/p/DGq_nu4tgVz/,,,,https://www.instagram.com/t100triathlon,3578952661232649587,Video,DGq_nu4tgVz,"Shoes on and gone 💨

@tkspivey wasted no time in T2 at the Dubai T100 🏃🏻‍♀️",[],['tkspivey'],14.0,Miss what?🤡,"[{'id': '18054673460151853', 'text': 'Miss what?🤡', 'ownerUsername': 'dragonov1990', 'ownerProfilePicUrl': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/425530712_2221571354871551_6052639905309759116_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=NfKEw4VeXCsQ7kNvgHUb0KG&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAPI4lbF4CkNrPvOABayZJdKQdc6H6J4_mwInZ37ORfTQ&oe=67CB5CD8&_nc_sid=10d13b', 'timestamp': '2025-03-03T05:26:42.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 0, 'owner': {'id': '64669246143', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/425530712_2221571354871551_6052639905309759116_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=NfKEw4VeXCsQ7kNvgHUb0KG&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAPI4lbF4CkNrPvOABayZJdKQdc6H6J4_mwInZ37ORfTQ&oe=67CB5CD8&_nc_sid=10d13b', 'username': 'dragonov1990'}}, {'id': '18073208473771219', 'text': 'yasss🔥🔥🔥🎨🎨🎨🧑🏼\u200d🎨🧑🏼\u200d🎨🧑🏼\u200d🎨🧑🏼\u200d🎨', 'ownerUsername': 'editvelogirona', 'ownerProfilePicUrl': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/353819997_215338414759859_2104052275585422224_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=ocT2rC7aDqUQ7kNvgEInWM9&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBqn50WM6osVPLkVRaM-CljMjq3W5pv3vAAx9lAHQNN0Q&oe=67CB605B&_nc_sid=10d13b', 'timestamp': '2025-03-02T19:05:44.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '55782943823', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/353819997_215338414759859_2104052275585422224_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=ocT2rC7aDqUQ7kNvgEInWM9&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBqn50WM6osVPLkVRaM-CljMjq3W5pv3vAAx9lAHQNN0Q&oe=67CB605B&_nc_sid=10d13b', 'username': 'editvelogirona'}}, {'id': '18055330058488607', 'text': '🙌', 'ownerUsername': 'smart_treatment', 'ownerProfilePicUrl': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/473163993_8366138833487537_3289402670824079338_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=t_mjDM-uLU4Q7kNvgESWFHe&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDde18EjqCuT4PSBYmynX-Ecq-MMsil24PvNim7mNLI2Q&oe=67CB4EEB&_nc_sid=10d13b', 'timestamp': '2025-03-02T11:46:33.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '7046525944', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/473163993_8366138833487537_3289402670824079338_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=t_mjDM-uLU4Q7kNvgESWFHe&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDde18EjqCuT4PSBYmynX-Ecq-MMsil24PvNim7mNLI2Q&oe=67CB4EEB&_nc_sid=10d13b', 'username': 'smart_treatment'}}, {'id': '18053554901155379', 'text': 'supertri transition training👏', 'ownerUsername': 'pyont925', 'ownerProfilePicUrl': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/475100807_1112678287004082_4121449883529615952_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=75INqZfsHgoQ7kNvgFcFPSs&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCUHe18ipMGNRJ_oMYBQm3Uv0AqX_49SsZZo_Vrcc1gaQ&oe=67CB52CA&_nc_sid=10d13b', 'timestamp': '2025-03-02T05:24:31.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '61608486818', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/475100807_1112678287004082_4121449883529615952_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=75INqZfsHgoQ7kNvgFcFPSs&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCUHe18ipMGNRJ_oMYBQm3Uv0AqX_49SsZZo_Vrcc1gaQ&oe=67CB52CA&_nc_sid=10d13b', 'username': 'pyont925'}}, {'id': '18487314721048475', 'text': 'Multi-tasking 👸', 'ownerUsername': 'jordanblanco', 'ownerProfilePicUrl': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/315445627_1539315323163206_6295504399230953347_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=pdqnbfREnDMQ7kNvgHq8SzI&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAH7Vx9IPWR6Y-tZgrWySbDKq1bM9JLVe-swm2D9rRfzQ&oe=67CB4A43&_nc_sid=10d13b', 'timestamp': '2025-03-02T03:47:38.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '10033542', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/315445627_1539315323163206_6295504399230953347_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=pdqnbfREnDMQ7kNvgHq8SzI&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAH7Vx9IPWR6Y-tZgrWySbDKq1bM9JLVe-swm2D9rRfzQ&oe=67CB4A43&_nc_sid=10d13b', 'username': 'jordanblanco'}}, {'id': '17963037113853199', 'text': 'Smooth transition!', 'ownerUsername': 'opheliagrenke', 'ownerProfilePicUrl': 'https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/281145829_558336499247451_8235608357553815540_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=DVlM6Z6D8tcQ7kNvgEeiue4&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCaFflbsWZBNASHmDXilS9I3MaE-WGjJi4nH93GmkcVBQ&oe=67CB53A3&_nc_sid=10d13b', 'timestamp': '2025-03-02T01:17:33.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '11457621643', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/281145829_558336499247451_8235608357553815540_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=DVlM6Z6D8tcQ7kNvgEeiue4&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCaFflbsWZBNASHmDXilS9I3MaE-WGjJi4nH93GmkcVBQ&oe=67CB53A3&_nc_sid=10d13b', 'username': 'opheliagrenke'}}, {'id': '17923134048041668', 'text': 'Awesome colors! 💙\U0001fa75', 'ownerUsername': 'derekd426', 'ownerProfilePicUrl': 'https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/288503411_594699012076225_3282052075611059499_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=e5aTi2F2RfYQ7kNvgHY-apH&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB_nXAlRsiiv2Y01uPa5NaX-4HhW_2E8DnyDrDafl7diQ&oe=67CB6B1A&_nc_sid=10d13b', 'timestamp': '2025-03-01T22:41:28.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 2, 'owner': {'id': '54012058885', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/288503411_594699012076225_3282052075611059499_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=e5aTi2F2RfYQ7kNvgHY-apH&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB_nXAlRsiiv2Y01uPa5NaX-4HhW_2E8DnyDrDafl7diQ&oe=67CB6B1A&_nc_sid=10d13b', 'username': 'derekd426'}}, {'id': '17948566523803961', 'text': 'No ragrets', 'ownerUsername': 'desmond_yap96', 'ownerProfilePicUrl': 'https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/470917682_870356031658624_4202809330982829976_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=KDssShpCILsQ7kNvgG6Zefk&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCJ22mKJiX7zBY8ccG6HLEXP3WA0vdrlZXXG83hTmjTuw&oe=67CB51B3&_nc_sid=10d13b', 'timestamp': '2025-03-01T22:32:27.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '59587249617', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru1-1.cdninstagram.com/v/t51.2885-19/470917682_870356031658624_4202809330982829976_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=KDssShpCILsQ7kNvgG6Zefk&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCJ22mKJiX7zBY8ccG6HLEXP3WA0vdrlZXXG83hTmjTuw&oe=67CB51B3&_nc_sid=10d13b', 'username': 'desmond_yap96'}}, {'id': '17919215460061615', 'text': '👏', 'ownerUsername': 'robin.kasem', 'ownerProfilePicUrl': 'https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/240890609_1178679529299332_5749213135101385554_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=i9vSqldYsL8Q7kNvgHTNv0s&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCA37dmNJ2pDvUbv_xbEDPt8eZ5Z5mLcqcftD98oA5wxw&oe=67CB4DB6&_nc_sid=10d13b', 'timestamp': '2025-03-01T22:27:59.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '2149655223', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/240890609_1178679529299332_5749213135101385554_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=i9vSqldYsL8Q7kNvgHTNv0s&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCA37dmNJ2pDvUbv_xbEDPt8eZ5Z5mLcqcftD98oA5wxw&oe=67CB4DB6&_nc_sid=10d13b', 'username': 'robin.kasem'}}, {'id': '18053887814160878', 'text': '🔥🔥🔥🔥🔥🔥', 'ownerUsername': 'whool1o', 'ownerProfilePicUrl': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/471548019_1404075627663950_8783675137747099862_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=EaVUON3wsbMQ7kNvgFWo5KF&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAjlM91XUEJT2KQbrY9WRP-Rk9hOj1MepavZ5t6r1x_MA&oe=67CB6512&_nc_sid=10d13b', 'timestamp': '2025-03-01T22:23:49.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 2, 'owner': {'id': '58711712926', 'is_verified': False, 'profile_pic_url': 'https://scontent-gru2-2.cdninstagram.com/v/t51.2885-19/471548019_1404075627663950_8783675137747099862_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=EaVUON3wsbMQ7kNvgFWo5KF&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAjlM91XUEJT2KQbrY9WRP-Rk9hOj1MepavZ5t6r1x_MA&oe=67CB6512&_nc_sid=10d13b', 'username': 'whool1o'}}]",1333.0,750.0,https://scontent-gru1-2.cdninstagram.com/v/t51.2885-15/482584488_18145546801375210_2953007472463786455_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=NchUKJnUzPwQ7kNvgEaBcAM&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA2e8hxNizvmO4TEoqb4imehlfPiQxQQ_WKPR5e86QazQ&oe=67CB3486&_nc_sid=10d13b,[],,3750.0,2025-03-01T21:44:30.000Z,[],T100 Triathlon World Tour,t100triathlon,11219783209,False,https://scontent-gru2-2.cdninstagram.com/o1/v/t16/f2/m86/AQOCtLX47L6r5wf62Dbh7ic3bp8Cm5vGopMZEvAa7JM9QilfltZwYjpaAWSt4yp4feDXzCSZhuhsfIESNa1NMZb48H9zo4SnjrLAnSQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=102&vs=620986897461772_2742242482&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80MTRDQkVCNjVBQ0VGNTQwRjNERTE5NDI5MDEyMzc5NV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dCQzh2aHc0RktMMHZ0Y0VBSnZVOWlROXhuWk5icV9FQUFBRhUCAsgBACgAGAAbABUAACbWhdXTnuffPxUCKAJDMywXQC%2B7ZFocrAgYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=81f0e3c212&ccb=9-4&oh=00_AYABs2h6e_tYWpPugY9PzlVKQeqEQfCjTUA4iOHUM2TThA&oe=67C757C9&_nc_sid=10d13b,67570.0,202147.0,clips,15.866,"[{'full_name': 'Eurosport', 'id': '187701049', 'is_verified': True, 'profile_pic_url': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/449692287_2490203174515075_8012313965055810026_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=N89ytK5LHEoQ7kNvgFXL5ss&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCJVC23KkN4HQZ3jKKnhvrd9oIdGSfmDpnMWGAQTNCJeQ&oe=67CB44C9&_nc_sid=10d13b', 'username': 'eurosport'}, {'full_name': 'World Triathlon', 'id': '404490115', 'is_verified': True, 'profile_pic_url': 'https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/292771238_726713071885714_5345747608461024129_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=HIvm9q0LehAQ7kNvgHys7KG&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYD1xO1cnk9tdXpacjZGUrpwQ3IX2GYJ2Qh4iyP115IiUQ&oe=67CB633A&_nc_sid=10d13b', 'username': 'worldtriathlon'}, {'full_name': 'Taylor Spivey', 'id': '11516557', 'is_verified': True, 'profile_pic_url': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/350570773_2350559185123339_6720172712194136573_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=UJxyMpGx074Q7kNvgGD1iMy&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCdRrY3_a09T1dvIDfTfbBKKEtvH4Lahv8m4dsdy1lDZw&oe=67CB5A33&_nc_sid=10d13b', 'username': 'tkspivey'}]","{'artist_name': 'freyakillin', 'song_name': 'Original audio', 'uses_original_audio': True, 'should_mute_audio': False, 'should_mute_audio_reason': '', 'audio_id': '1293699921652066'}","[{'id': '404490115', 'is_verified': True, 'profile_pic_url': 'https://scontent-gru1-2.cdninstagram.com/v/t51.2885-19/292771238_726713071885714_5345747608461024129_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=HIvm9q0LehAQ7kNvgHys7KG&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYD1xO1cnk9tdXpacjZGUrpwQ3IX2GYJ2Qh4iyP115IiUQ&oe=67CB633A&_nc_sid=10d13b', 'username': 'worldtriathlon'}, {'id': '11516557', 'is_verified': True, 'profile_pic_url': 'https://scontent-gru2-1.cdninstagram.com/v/t51.2885-19/350570773_2350559185123339_6720172712194136573_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AEqFLhddcYFfdaHGYA4p7mkJCq_O_aMDzNowQRv8Z7QNyhNKmawNwNY8Fn55GXmtKE&_nc_ohc=UJxyMpGx074Q7kNvgGD1iMy&_nc_gid=81f0e4a3df34482cb29dbf32edba2a80&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCdRrY3_a09T1dvIDfTfbBKKEtvH4Lahv8m4dsdy1lDZw&oe=67CB5A33&_nc_sid=10d13b', 'username': 'tkspivey'}]"
